Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;140;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;180,996;181;14;576;16;1;13;566;
;;3;139,618;0,885853;2158;2185;559-418-413-421-419-138-160-420-422-32-513-1-111-20-416-110-403-518-2-244-459-235-65-460-245-153-494-150-139-103-388-557-374-132-125-378-117-102-385-380-82-377-164-424-559
;;4;139,998;0,717948;2244;2117;559-418-413-138-160-420-422-32-513-417-1-111-20-416-110-14-403-518-2-244-459-235-65-460-245-153-494-150-139-103-388-557-374-132-125-378-102-117-385-380-82-377-164-424-559
;;5;139,998;2,0425;2244;2117;559-418-413-138-160-420-422-32-513-417-1-20-111-416-110-14-403-518-2-244-459-235-65-460-245-153-494-150-139-103-388-557-374-132-125-378-117-102-385-380-82-377-164-424-559
;;6;139,917;17,8729;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-20-111-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;7;139,917;18,5006;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-111-20-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;8;139,887;15,5048;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-409-415-46-559
;;9;139,397;15,5477;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-409-415-46-559
;;10;139,397;15,5759;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-409-415-46-559
;;11;139,397;15,6916;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-409-415-46-559
;;12;139,397;16,2453;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-409-415-46-559
;;13;139,397;16,2593;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-409-415-46-559
;;14;139,117;16,3169;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;15;139,117;16,7749;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;16;139,117;16,7823;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;17;139,117;16,9062;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;18;139,117;16,9799;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;19;139,117;17,3623;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;20;139,117;17,7877;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;21;139,117;17,8109;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;22;139,117;17,8249;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;23;139,117;18,6983;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;24;139,637;19,2651;2691;1938;559-418-413-421-419-423-164-138-160-420-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;25;139,637;19,2724;2691;1938;559-418-413-421-419-423-164-138-160-420-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;26;139,637;19,2792;2691;1938;559-418-413-421-419-423-164-138-160-420-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;27;139,607;19,2858;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;28;139,117;19,3365;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;29;139,117;19,9544;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;30;139,607;19,9611;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;31;139,607;19,9754;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;32;139,607;20,0536;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;33;139,947;20,7405;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;34;139,667;20,7547;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;35;139,667;20,762;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-334-488-155-412-442-444-46-409-415-421-559
;;36;139,667;20,7783;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;37;139,667;20,8124;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;38;139,727;20,8821;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;39;139,727;20,9167;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;40;139,897;20,9234;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;41;139,667;20,9454;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;42;139,727;20,974;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;43;139,947;20,9806;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;44;139,947;20,9872;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;45;139,727;20,9939;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;46;139,727;21,2081;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;47;139,947;21,2146;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;48;139,947;21,2233;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;49;139,727;21,2314;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;50;139,727;21,2389;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;51;139,727;21,253;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;52;139,727;21,2883;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;53;139,727;21,3181;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;54;139,897;21,6743;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;55;139,897;21,6884;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;56;139,897;21,6958;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;57;139,897;21,7641;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;58;139,667;21,7849;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;59;139,947;21,8;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;60;139,947;21,9203;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;61;139,947;22,2552;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;62;139,947;22,3068;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;63;139,947;22,3145;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-421-559
;;64;139,947;22,3239;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-421-559
;;65;139,947;22,3769;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;66;139,947;22,4987;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;67;139,947;22,8227;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;68;139,727;22,8754;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;69;139,727;22,8828;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;70;139,947;22,9538;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;71;139,947;23,4439;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;72;139,947;23,4741;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;73;139,947;23,4812;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;74;139,947;23,5079;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;75;139,727;23,5254;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;76;139,947;23,5421;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;77;139,947;23,6075;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;78;139,947;23,8551;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;79;139,947;23,8616;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;80;139,727;23,9935;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;81;139,667;24,774;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;82;139,947;24,801;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;83;139,727;25,0084;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;84;139,727;25,0641;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;85;139,727;25,6356;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;86;139,667;25,67;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;87;139,947;25,9643;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;88;139,727;25,9994;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;89;139,667;26,15;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;90;139,947;26,201;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;91;139,947;26,3033;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-421-559
;;92;139,947;26,3113;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;93;139,727;26,3538;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;94;139,667;26,3745;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;95;139,667;26,5024;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;96;139,667;26,514;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;97;139,667;26,5278;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;98;139,667;26,5358;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;99;139,727;26,6217;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;100;139,727;26,6911;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
;;101;139,947;26,7242;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-559
